location,size,total_sqft,bath,price,Place,bhk
"J R Designers Floors, Rohini Sector 24",2 bhk,720,2,47,Delhi,2
"J R Designers Floors, Rohini Sector 24",2 bhk,800,2,55,Delhi,2
"J R Designers Floors, Rohini Sector 24",1 bhk,350,1,20,Delhi,1
"J R Designers Floors, Rohini Sector 24",3 bhk,980,2,73,Delhi,3
"J R Designers Floors, Rohini Sector 24",4 bhk,1600,3,130,Delhi,4
"J R Designers Floors, Rohini Sector 24",3 bhk,1450,3,115,Delhi,3
"J R Designers Floors, Rohini Sector 24",2 bhk,445,2,28,Delhi,2
"J R Designers Floors, Rohini Sector 24",1 bhk,380,1,22,Delhi,1
"J R Designers Floors, Rohini Sector 24",2 bhk,680,2,44,Delhi,2
"J R Designers Floors, Rohini Sector 24",3 bhk,1600,3,135,Delhi,3
"J R Designers Floors, Rohini Sector 24",2 bhk,630,2,41,Delhi,2
"J R Designers Floors, Rohini Sector 24",3 bhk,1500,2,120,Delhi,3
"J R Designers Floors, Rohini Sector 24",2 bhk,550,2,35,Delhi,2
"J R Designers Floors, Rohini Sector 24",4 bhk,2500,3,150,Delhi,4
"J R Designers Floors, Rohini Sector 24",5 bhk,2800,4,175,Delhi,5
"J R Designers Floors, Rohini Sector 24",1 bhk,300,1,19,Delhi,1
"J R Designers Floors, Rohini Sector 24",3 bhk,800,2,55,Delhi,3
"J R Designers Floors, Rohini Sector 24",3 bhk,1295,2,100,Delhi,3
"J R Designers Floors, Rohini Sector 24",3 bhk,700,2,47,Delhi,3
"J R Designers Floors, Rohini Sector 24",1 bhk,350,1,24,Delhi,1
"J R Designers Floors, Rohini Sector 24",2 bhk,450,2,38,Delhi,2
"J R Designers Floors, Rohini Sector 24",4 bhk,2200,4,230,Delhi,4
"J R Designers Floors, Rohini Sector 24",4 bhk,2300,4,245,Delhi,4
"J R Designers Floors, Rohini Sector 24",3 bhk,1150,2,100,Delhi,3
"J R Designers Floors, Rohini Sector 24",3 bhk,800,2,55,Delhi,3
"J R Designers Floors, Rohini Sector 24",3 bhk,850,2,70,Delhi,3
"J R Designers Floors, Rohini Sector 24",3 bhk,720,2,65,Delhi,3
"The Leela Sky Villas, Patel Nagar",5 bhk,4688,4,1350,Delhi,5
"J R Designers Floors, Rohini Sector 24",2 bhk,750,2,50,Delhi,2
"The Leela Sky Villas, Patel Nagar",4 bhk,3901,4,930,Delhi,4
"Uttam Nagar Floors, Uttam Nagar",3 bhk,950,2,43.7,Delhi,3
"Virat Residency, Dwarka Mor",3 bhk,1000,2,46.2,Delhi,3
"Siddhartha Heights, Dwarka Sector 24",2 bhk,850,1,19,Delhi,2
"Find Homes, Greater Kailash 2",4 bhk,2400,4,700,Delhi,4
"MTNL Employees House Welfare Society, Dwarka Sector 24",3 bhk,1350,2,51.3,Delhi,3
"Adarsh Homes, Dwarka Mor",2 bhk,540,2,30,Delhi,2
"Delhi Homes Yojana, Dwarka Sector 24",4 bhk,1387,4,58.9,Delhi,4
"Kushwaha Homes, Uttam Nagar",2 bhk,540,2,33,Delhi,2
"Godrej South Estate, Okhla",2 bhk,976,2,249,Delhi,2
"The Elite Spire, Dwarka Sector 21",3 bhk,1050,2,37,Delhi,3
"APL Builder Floor, Greater Kailash 1",4 bhk,2700,3,600,Delhi,4
"Kunj Vihar Apartment, Dwarka Sector 12",3 bhk,1500,2,174,Delhi,3
Janakpuri Block A3,5 bhk,2900,5,510,Delhi,5
Greater Kailash 2,5 bhk,5025,6,1700,Delhi,5
"Partap Homes, Bhagwati Vihar, Uttam Nagar",3 bhk,1000,2,55.1,Delhi,3
"The Amaryllis, Karol Bagh",3 bhk,1135,3,250,Delhi,3
"The Leela Sky Villas, Patel Nagar",3 bhk,2306,3,570,Delhi,3
"Diamond Heights Multi Estate, Najafgarh",2 bhk,850,2,29.4,Delhi,2
"Ashirwad Apartments, Dwarka Sector 12",3 bhk,1200,3,155,Delhi,3
"Sunny Valley Apartments, Dwarka",3 bhk,1700,2,172,Delhi,3
